id,term,definition
card373,What is a letter of intent (LOI)?,"short note showing intent to sign a full contract later.

A letter of intent is like saying, “I’m serious about this deal, but we’re not signing the final contract yet.”
It shows someone’s interest and commitment, but without all the final details locked in.
It’s often used in business, jobs, or big projects to start things off.
Think of it like a promise to keep talking and move forward.
It’s not legally binding (usually), but it shows you’re not just window-shopping.
It helps get everyone on the same page before the real contract."
card374,Moral rights,"personal, non-economic creator rights; right to be credited & to protect the work's integrity."
card375,Industrial-design application,"needs name, fee, drawings; a descriptive statement of unique features is optional."
card376,Expert witness,Help judge/jury understand technical issues and add credibility (expert opinion is admissible).
card377,Movable tangible personal property,Chattels.
card378,"What is a fundamental breach, and what can the innocent party do?",A fundamental breach goes to the root of the contract and denies most/all benefits; the innocent party may treat the contract as terminated and sue for damages. 
card379,Usual split of content in Canadian Acts & Regulations,Act = purpose & principles; Regulation = detailed rules for applying the Act.
card380,Disability-based discrimination,Can be allowed if the job genuinely cannot be done with the disability (a 'bona fide occupational requirement').
card381,Why 'gelato' is un-registrable as a Canadian trademark,It's a descriptive foreign word for the goods themselves; such marks are refused.
card382,Obligations in a performance bond,Primary obligations / Secondary obligations.
card383,After ADR uncovers professional misconduct,"ADR stops and a formal complaint goes to the regulator to protect the public.

If ADR finds signs of professional misconduct, the process stops right away.
Instead of continuing the dispute, a formal complaint is sent to the regulator.
This is done to protect the public from harm and hold the professional accountable.

Example

During a mediation, a client reveals their accountant faked tax documents.
Because that’s professional misconduct, the ADR process ends.
A complaint is filed with the accounting board.
The board investigates and may suspend the accountant’s license.
This step puts public safety before finishing the private dispute."
card384,Allowed ways to end a contract after contractor's fundamental breach,"(1) Keep contractor & sue for damages or (2) Terminate & sue for damages.

If a contractor seriously breaks the contract (called a fundamental breach), you have two options:

Continue with the contractor but ask the court for money to cover your losses.

End the contract completely and then go to court to get money for the damage.
These are the legal choices available when the contractor does something really wrong that ruins the deal.

Example:

Let’s say a contractor was hired to build a swimming pool, but they used the wrong materials and made it unsafe.
As the client, you could keep the contractor to fix it but ask for money for the problems.
Or, you could cancel the contract and sue them to pay for the damages and hire someone else.
Both ways are allowed if the mistake is big enough.
A small mistake wouldn’t count—it has to be serious.
This protects you if the contractor really messes up."
card385,"Which of the following is NOT a role performed by technical societies in Canada?

A) Providing technical resources such as journals, conferences, and training
B) Supporting professional development and networking
C) Developing technical standards in specialized fields
D) Licensing engineers and geoscientists to legally practice","D) Licensing engineers and geoscientists to legally practice

When we talk about technical societies (like IEEE, ASME, CSCE, CIM, etc.), their job is to support the technical growth of professionals. They publish journals, host conferences, set technical standards, and help engineers learn new things.

But they do NOT have any legal power.

They cannot:

• Give you a licence
• Allow you to legally call yourself P.Eng. or P.Geo.
• Discipline you for unethical behaviour
• Give you permission to practise engineering or geoscience

Those powers belong only to provincial/territorial regulators (like APEGA, EGBC, PEO, Engineers Geoscientists Manitoba, etc.). Regulators exist because engineering and geoscience affect public safety, so the government gives these regulators legal authority.

Think of it this way, Nima:
A technical society is like a gym — a place to train, practice, connect, and get better.
A regulator is like the government licensing office — the place that decides who is legally allowed to drive."
card386,Historic event after which Canadian technical societies multiplied rapidly,After World War II - the post-war boom in engineers/geoscientists sparked many new societies.
card387,Can you directly join the Canadian Federation of Engineering Students (CFES)?,You cannot join the federation directly; join one of its member societies and you're automatically included.
card388,What is a federation?,"A federation is like an umbrella that brings together several separate societies so they can speak with one big voice.

Example: The Canadian Federation of Earth Sciences unites various provincial geoscience societies under one national group to tackle issues like funding and advocacy together."
card389,Use of supervisor's seal,No - only the P.Eng. who owns the seal may sign & seal.
card390,Unauthorized practice,Verbally claiming to be an engineer after licence expiry = unauthorized practice.
card391,Bylaws,Internal operating rules of the association.
card392,What are the main services provided by technical societies?,"They publish journals, codes, and standards, and offer networking opportunities."
card393,Name the two Canadian jurisdictions where geoscience remains unregulated.,Yukon & Prince Edward Island.
card394,Agreement on Internal Trade (AIT),Trade agreement that lets a licensed P.Eng. move from NS to Alberta (or vice-versa) with minimal paperwork.
card395,Acceptable title for 2-yr Member-/Engineer-in-Training,"""Senior Technical Analyst"" - avoids the protected word Engineer."
card396,What is the legal status of copyright protection in Canada - automatic or requiring registration?,"Protection is AUTOMATIC the moment your original work is fixed in a material form (like saved as a file, written down, recorded). Registration is optional, but it provides a formal certificate and legal presumption of ownership, which is valuable proof in court."
card397,Public disclosure and patents,Any pre-filing public disclosure can bar patentability.
card398,"What does “per diem” pay mean, and when is it useful?","Per diem = paid by a daily rate. It’s useful when the total length of the job is uncertain, so workers are fairly paid for each day they work.

(Example

A consultant is hired for a project with no set end date.
Instead of guessing the total cost, the company offers $400 per diem.
That means the consultant gets $400 each day they work.
If they work 3 days, they earn $1,200.
This method keeps things simple while the project details are still unclear.
It’s like saying, “We’ll pay you daily while we figure things out.)"
card399,Who holds the actual legal power to grant a P.Eng. or P.Geo. license?,"The Rule: ONLY provincial or territorial associations (e.g., Engineers Geoscientists Manitoba - EGM) have the legal authority to issue a P.Eng. or P.Geo. license.

The Trap: Technical societies (like ASME, IEEE, or SAE) CANNOT grant legal licenses. They only offer memberships, networking, or technical certifications. A certificate from a technical society does not give you the legal right to stamp engineering drawings."
card400,Discipline-oriented society,"A society focused on a single profession, organized by field rather than region."
card401,Sealing a drawing,Both engineers must stamp; each writes their area of responsibility beside their seal.
card402,Core licensing criteria,1. Accredited degree 2. 4 yrs qualifying experience 3. Law-&-ethics exam (NPPE); many need a good-character check.
card403,"In Canada, how long does a registered trademark last, and what are the renewal terms (post-2019)?",10 years from registration; renewable every 10 years thereafter.
card404,Public disclosure that can bar patents,Advertising your invention before filing counts as public disclosure and can bar a patent.
card405,Most-important criterion in work-experience assessment,Application of theory is rated highest.
card406,EIT signs 'P.Eng.',Could face Enforcement (or Discipline if EITs are classified as members) for illegal title use.
card407,Persian translation of liable,"مسئول، پاسخگو ( بار منفی داره )"
card408,Persian translation of Client,کارفرما (کسی که برای یک پروژه مهندس هایر می کنه)
card409,"Persian translation of ""paying dues""",پرداخت حق عضویت
card410,"Which of the following is NOT typically a principle found in most engineering and geoscience Association Codes of Ethics?
A) Stay informed and continually develop one's knowledge
B) Ensure appropriate and adequate compensation for engineering work
C) Participate in Association voting activities
D) Hold paramount the safety of the public",C) Participate in Association voting activities
card411,"In Canada, how is the professional status and practice of engineers primarily regulated?
A) Self-regulated
B) Regulated by incentives
C) Regulated by the government
D) Deregulated",A) Self-regulated
card412,Why was National Instrument 43-101 created after the Bre-X mining scandal?,To prevent false or misleading claims about mineral discoveries.
card413,The purpose of a Letter of Assurance is to confirm that the construction was completed in accordance with the ____________ and ____________ signed and sealed by the professional.,plans / specifications
card414,"Which of the following is *NOT* a valid way for a professional to fulfill their duty to themselves?
a) Insist on adequate payment from your client or employer.
b) Insist that you are awarded all rights under the Charter of Rights and Freedoms.
c) Insist that your best interest is a priority.
d) Insist that you are provided with a satisfactory work environment.",c) Insist that your best interest is a priority.
card415,"According to most Occupational Health and Safety Acts, who is responsible for *supplying and who is responsible for using* personal protective equipment (PPE)?
a) Employer supplies / Worker uses
b) Supervisor supplies / Worker uses
c) Worker supplies / Employer uses
d) Provincial association supplies / Employee uses",a) Employer supplies / Worker uses
card416,"The ""cradle-to-grave"" approach in hazard assessment considers:
a) Worst-case scenarios and their likelihood
b) Whether construction standards will become outdated
c) Hazards across all age groups in the affected population
d) All potential hazards from construction through to decommissioning",d) All potential hazards from construction through to decommissioning
card417,"In a construction project involving multiple contractors, the individual responsible for coordinating safety and ensuring the protection of both employees and the public is called the ___________.
a) health and safety coordinator
b) prime contractor
c) project lead
d) director of public safety",b) prime contractor
card418,"In a construction project, the individual specified in the contract as responsible for safety is called the __________, and is responsible for the safety of __________.
a) health and safety coordinator / employees and the public
b) prime contractor / employees and the public
c) project lead / employees only
d) director of public safety / the public only",b) prime contractor / employees and the public
card419,"What is the common calculation used to determine the Factor of Safety in engineering design?
a) Ratio of benefits to risks to society
b) Ratio of load capacity to expected load on a structure or system
c) Total project cost plus insurance
d) Added safety cost plus damage insurance",b) Ratio of load capacity to expected load on a structure or system
card420,"What is the regulatory function focused on preventing unlicensed individuals from using protected titles like ""P.Eng."" or practicing without authorization?",Enforcement
card421,"Which of the following is considered a classic example of a soft skill essential in engineering and geoscience?
A) Data analysis
B) Equipment calibration
C) Teamwork
D) Sample collection",C) Teamwork
card422,"Which ethical theory focuses on achieving ""the greatest good for the greatest number""?",Utilitarianism (Mill)
card423,"In Canada, copyright protection lasts for the creator's life plus how many years after their death?
A) 20 years
B) 50 years
C) 70 years
D) 100 years",C) 70 years
card424,"Which of the following is considered intellectual property?
A) A purchased smartphone
B) A patent for a new engine design
C) A factory building
D) Office furniture",B) A patent for a new engine design
card425,"Physical property refers to _______ that an individual or group owns, such as a car or television.","a tangible, physical item"
card426,"What type of intellectual property can have its ownership extended indefinitely through renewals?
A) Patents
B) Copyrights
C) Designs
D) Trademarks",D) Trademarks
card427,"Utilitarianism is an ethical theory that emphasizes actions that produce:
A) Maximum personal gain
B) Absolute adherence to rules
C) Respect for individual rights
D) The greatest good for the greatest number",D) The greatest good for the greatest number
card428,"What is the legal concept of ""legal precedent"" or ""court precedent""?","Answer: رویه قضایی (roviyé ghazâ'i)

Summary: A sequence of previous court decisions that serve as a guide or rule for future cases involving similar facts or legal issues.

Professional Context: As a professional, understanding legal precedent is crucial. Over time, courts interpret laws (such as environmental regulations or workplace safety acts). These established interpretations (precedents) *define* the legal standards you are expected to uphold in your practice, sometimes even beyond the literal text of the statutes. Knowing significant precedents helps ensure compliance and avoid liability."
card429,What does the acronym M.I.T. stand for in the context of professional licensing in engineering or geoscience?,Member-in-Training
card430,"What is the Persian (Farsi) translation of ""disciplinary hearing""?",بازپرسی یا بازجویی
card431,"What is the Persian (Farsi) translation of ""contract clauses""?",بندهای قرارداد
card432,"Which compensation approach is most suitable when the project scope is clearly defined and unlikely to change?
A. Per diem
B. Lump sum
C. Base rate + meal allowance
D. Percentage of project costs",B. Lump sum
card433,A fixed daily amount paid for each day of service—regardless of hours worked or task complexity—is known as a __________.,per diem
card434,"Quantum meruit is Latin for ""as much as he/she __________.""
(Fill in the missing word.)",deserves
card435,"Under most OHS Acts, when a job requires personal protective equipment, it is the *______'s responsibility to ensure the PPE is worn/used, and the ______*'s responsibility to supply it.",Worker ; Employer
card436,Participation in the Iron Ring ceremony is __________ (required / voluntary) for licensure as a professional engineer in Canada.,Voluntary — it is *not required* for licensure.
card437,"Name *two* common ""soft skills"" that engineers or geoscientists are expected to develop: ________ and ________.","Typical answers include:
- Teamwork
- Communication
(Other acceptable soft skills: supportive supervision, leadership, conflict-resolution, adaptability, etc.)"
card438,True or False: The iron or earth science ring indicates that the wearer is fully licensed by their provincial/territorial association.,"False. The ring signifies an ethical oath, not licensure."
card439,"Q: Under the Canada Free Trade Agreement, a licensed engineer or geoscientist wishing to relocate and continue practice within Canada can easily be licensed in _________.
A) all of Canada's territories, but not in the provinces
B) all of Canada's provinces, but not in the territories
C) all of Canada's provinces and territories
D) in 4 of Canada's provinces and territories, including Alberta, British Columbia, Nunavut, and Nova Scotia",A: C) all of Canada's provinces and territories
card440,"Q: Which of the following is true about obtaining experience credit for a Master's degree in engineering?
A) All engineering associations in Canada grant 1 year of experience credit for any Master's program.
B) Only some associations, like APEGA and EGBC, may grant experience credit for a Master's program, typically if it is thesis-based.
C) All Master's programs are guaranteed to count for experience credit.
D) Master's degrees automatically count as 2 years of work experience.","A: B) Only some associations, like APEGA and EGBC, may grant experience credit for a Master's program, typically if it is thesis-based."
card441,"Q: According to the Professional Engineers Act, which duty takes precedence over all others?
A) Duty to the profession
B) Duty to the employer
C) Duty to the public
D) Duty to oneself",A: C) Duty to the public
card442,"Q: When making ethical decisions as a professional, which of the following is mandated by the Canadian Charter of Rights and Freedoms?
A) Decisions must be made independently from religion
B) Decisions must not be influenced by professional gain
C) Decisions must be free from personal bias
D) Decisions must be fair and justifiable, even if they benefit the decision-maker",A: A) Decisions must be made independently from religion
card443,"Q: When facing an ethical dilemma, engineers can follow a process similar to which of the following?
A) Trademarking process
B) The formal discipline process
C) The design process
D) License application process",A: C) The design process
card444,"When an employee is hired under contract to develop software, who is listed as the creator for copyright registration?
A. Employer
B. Employee
C. Jointly
D. Third party",B. Employee
card445,"When an employee is hired under contract to develop software, who is listed as the owner for copyright registration?
A. Employee
B. Employer
C. Jointly
D. Government",B. Employer
card446,Engineers following Mill's Utilitarianism should allocate resources to maximize __________ for the greatest number of people.,overall well-being (happiness and safety)
card447,State Mill’s utilitarian aim in one sentence.,Promote the greatest happiness for the greatest number of people.
card448,"According to Mill's Utilitarianism, why is allocating more resources to safety in public infrastructure projects preferred?
A. It reduces initial costs
B. It delights a selected few
C. It maximizes well-being for the largest population
D. It enhances visual appeal",C. It maximizes well-being for the largest population
card449,The statement that ethical writing came before mathematical disciplines like calculus and statistics is ______.,correct
card450,Ethical writing traces back approximately ____ years ago.,3000
card451,"Which system of government is most consistent with Mill's Utilitarianism?
A. Communism
B. Fascism
C. Democracy
D. Monarchy",C. Democracy
card452,True or False: A democratic government exemplifies utilitarianism by empowering the majority to make decisions that benefit the most people.,TRUE
card453,What must an engineer do when reviewing another engineer's work before sealing it?,Review the work thoroughly enough to feel comfortable taking responsibility for it.
card454,Is there a set rule for how long or how you must review technical drawings?,"No, there is no set rule; the engineer uses professional judgment to decide the review method and duration."
card455,What were some causes of the 1907 and 1916 bridge disasters?,"Engineering errors, poor communication, lack of oversight, and inadequate funding."
card456,What tradition began in 1922 to remind engineers of their ethical duties?,The Iron Ring ceremony.
card457,What event caused the creation of the first licensing laws for engineers in Canada?,"The Quebec Bridge collapses of 1907 and 1916.

The deaths of over 85 workers in early 1900s bridge failures led to the introduction of licensing laws for engineers."
card458,"In Callum's fraud case, can he use double jeopardy to block civil claims?",No. It doesn't apply to civil claims.
card459,What defense stops a second criminal prosecution for the same crime?,Double jeopardy.
card460,Double jeopardy does not block which actions?,"civil

(Criminal case = government tries to punish (jail/fine).

Civil case = a person/business wants compensation (money) or a court order.
Double jeopardy only blocks the criminal do-over. The civil lane stays open.

Example: You’re found not guilty of careless driving in criminal court. The injured driver can still sue you for damages in civil court. That lawsuit is not blocked.)"
card461,What kinds of consequences can follow a criminal conviction besides jail?,"Heavy fines, civil damages, and license revocation. (License REVOCATION is the most important one!)

If you're convicted of a crime, jail isn’t the only consequence.
You might also get big fines, be forced to pay money to victims, or even lose your professional license.
License revocation is the most serious for professionals—it means you can’t legally work in your field anymore.
So, a criminal record can ruin your career, not just your freedom.
These extra penalties are often long-term and life-changing.

3) Example

Say an engineer is convicted of fraud in a project.
They might get fined $50,000, and the client could sue for civil damages.
But the worst part? Their engineering license gets revoked.
Now they can’t sign or work on engineering projects again.
Even after jail or fines, that career damage lasts forever.
So, one conviction can lead to multiple serious consequences."
card462,When would a member use the Code of Ethics?,In complex or unclear professional situations.
card463,What is the Persian term for “obligation (legal/professional duty)” and give a simple example.,تعهد (ta‘ahhod). Example: «مهندسان تعهد دارند که از مردم محافظت کنند.»
card464,Level ___ is the first level where you can work without supervision.,Level C - Professional Engineer
card465,What are your two obligations when you identify a hazard on a project?,Communicate the hazard's risks to those affected and take measures to eliminate or reduce the risks.
card466,What are the common engineering levels of responsibility from lowest to highest?,"Level A – Entry Level  
Level B – Engineer-in-Training or Junior Engineer  
Level C – Professional Engineer (first independent level)  
Level D – First Supervisory or Specialist Level  
Level E – Middle Management or Advanced Specialist  
Level F – Senior Management or Executive Level"
card467,The ________ is the amount you pay before the insurer covers a claim.,deductible
card468,When may an engineer apply their seal to a document?,Only after a thorough review and feeling able to accept full responsibility.
card469,"Who must seal a drawing that covers structural, mechanical, and electrical engineering?",Each discipline's licensed engineer and the approving professional.
card470,Is a single seal ever sufficient for drawings involving multiple disciplines?,No; each discipline and the approving professional must seal.
card471,Why does the overruling engineer seal the document in an overruling situation?,Because they imposed changes and take responsibility for those changes.
card472,You should only seal once you are ready to accept full __________.,responsibility
card473,Overruling engineers seal because they __________  and responsibility.,impose
card474,The seal communicates professional __________ for the work.,impose changes
card475,What must you do if you hold stock in a company your employer is considering for business?,Disclose the conflict of interest according to the Code of Ethics.
card476,What is a key difference between Kant's formalism and Mill's utilitarianism?,Formalism focuses on duty; utilitarianism focuses on outcomes.
card477,When does Canadian copyright protection begin for an original work?,Immediately upon its creation.
card478,Is copyright registration required in Canada to protect a work?,No. Copyright protection is automatic upon creation.
card479,What can an employer do when an employee refuses unsafe work under OHS laws?,Reassign the worker to other duties.
card480,Does the OHS Act require paid leave when a worker refuses unsafe work?,No. Reassignment to other duties is the prescribed remedy.
card481,Can an employer reassign a worker who refuses unsafe work without it being discrimination?,"Yes, as long as salary and benefits are maintained.

Simplified Explanation:

Yes, an employer can reassign a worker who refuses unsafe work without it being discrimination, as long as the worker keeps the same salary and benefits. “Without it being discrimination” means the worker is not treated unfairly or punished for protecting their safety. The change in job must not harm their pay or rights. It should be a fair adjustment, not a penalty. This helps keep workers safe while still respecting their job conditions.

Example:

A factory worker refuses to use a broken machine because it’s unsafe. The employer moves them to another task. Their pay and benefits stay the same. They are not punished or treated unfairly. This is not discrimination because the change protects their safety."
card482,What power does an Engineering or Geoscience Association have when a public complaint is filed against a licensed member?,Discipline the member.
card483,"What is the Persian translation of ""professional negligence""?","The phrase ""professional negligence"" means when a professional does not do their job carefully or correctly, causing possible harm or problems. In Persian, it is translated as ""سهل‌انگاری حرفه‌ای"", which directly means carelessness in a professional job. It refers to situations where someone fails to meet expected standards in their work. So overall, it’s about not being careful enough in a professional role.

Example

Imagine an engineer designs a bridge but does not check the safety calculations properly. Because of this, the bridge has serious issues. This is called professional negligence. In Persian, you would say the engineer committed سهل‌انگاری حرفه‌ای. It means they did not follow proper professional standards. This concept is often tested in the NPPE exam."
card484,What is the Persian translation of Tort?,"The closest Persian word for the legal term ""tort"" is «مسئولیت مدنی» (mas'uliyyat-e madanī), literally ""civil responsibility.""

Example
English: ""Trespass is an intentional tort.""
Persian: «تجاوز به ملک دیگری یک مسئولیت مدنی عمدی است.»"
card485,What is Tort?,"1) Advanced Phrases
Tort : A civil wrong where someone can be sued for harm they caused. Intentional tort A tort done on purpose, not by accident. 2) Simplified ExplanationA tort is a type of wrongful act that hurts someone else and can lead to a lawsuit for money damages. When the act is intentional (done on purpose), it is called an intentional tort—examples are fraud, trespass, and defamation. If the harm happens by accident or carelessness, it falls under negligence, not an intentional tort. In short, tort law deals with making the person who caused the harm legally responsible to compensate the victim."
card486,What is the Persian translation of competence?,توانمندی
card487,What is an Act in the context of Canadian law?,"A law passed by the (federal or provincial) government that sets out broad, general rules applicable across the entire country or province."
card488,What is a Bylaw and who creates it?,"A bylaw is a rule made by a local group, like a city or association, to control what happens in its own area or with its own members. It can’t go against  overarching Acts, but it can add extra rules that fit local needs. So, it’s like a custom set of rules for a specific place or group. "
card489,"What's the difference between an Act, a Regulation, and a Bylaw in Canadian law?","Act: A broad law passed by federal or provincial government, setting out general rules.

Regulation: Detailed instructions made under an Act, explaining how to apply its rules in specific situations.

Bylaw: Local rules created by municipalities or professional bodies—must follow the parent Act and its Regulations but can add further requirements."
card490,Lien Law - What is it and how does it protect you?,"A legal right allowing contractors or suppliers who aren't paid to register a ""lien"" (a hold) on the property, so it can't be sold or refinanced until the debt is settled.

Example: You install a $10 000 HVAC system and aren't paid—file a lien, and the owner must pay you before selling the house."
card491,What are the three stages of the professional discipline process?,"1. Gathering evidence
2. Investigation and peer review
3. Discipline hearing

Simplified Explanation

The professional discipline process has three main steps. First, people collect evidence to understand what happened. Next, there is an investigation where experts review the case carefully. Finally, a discipline hearing is held to decide if rules were broken and what should happen next. Each step helps make sure the situation is handled fairly and thoroughly.

Example:

Imagine a doctor is accused of breaking a rule at work. First, the hospital collects records and statements as evidence. Then, other doctors review and investigate the situation. After that, a hearing is held where both sides explain their views. A panel decides if the doctor did something wrong. They also decide if any punishment or action is needed."
card492,What does RFQ stand for?,"RFQ stands for Request for Qualification.

This is a formal way a company or client asks engineering firms or professionals to show their skills, experience, and qualifications before getting hired for a project. It helps the client shortlist the most capable people before moving on to cost talks or proposals.

Example:

Imagine a city wants to build a new bridge. Before picking a company, they send out an RFQ to see which companies have the right experience, skills, and engineers. Companies reply with details about past projects and resumes of key staff. The city reviews all the RFQs and selects a few top firms. Then they may ask those firms for a full proposal or quote. This helps ensure only qualified professionals get considered for big, important work."
card493,Most environmentally risky step in Carbon Capture & Sequestration (CCS)?,"Storage of CO₂.

Underground storage of CO₂ (sequestration) carries the greatest long-term environmental risk."
card494,Architect licence in Canada,A provincial/territorial Architect licence under an Architects Act (not a P.Eng.) is required to practise.
card495,Regulation of engineering and geoscience professions in Canada,They are self-regulated by provincial/territorial associations.
card496,"Which CSA rule governs public reporting of mineral discoveries after the Bre-X fraud?

(CSA = Canadian Securities Administrators — the body that issued this rule for disclosure of mineral discoveries)""","National Instrument 43-101

(CSA = Canadian Securities Administrators — the body that issued this rule for disclosure of mineral discoveries)"
card497,Personal protective equipment (PPE) under OHS law,Worker wears it; employer supplies it.
card498,Cradle-to-grave hazard assessment,"Covers all hazards from initial construction through operation to final decommissioning.

A cradle-to-grave hazard assessment would start by looking at risks during construction (e.g. equipment injuries).
Then it would check for dangers during operation (like overheating or chemical leaks).
Finally, it would plan for safe shutdown and removal, like disposing of waste or taking apart machinery.
So instead of just checking once, this method tracks safety from beginning to end."
card499,Overall safety responsibility on multi-employer construction site,The prime contractor is legally responsible for workers & the public.
card500,Factor of Safety (FoS) calculation,FoS = Load capacity ÷ Expected load.
card501,Discipline vs enforcement in self-governing associations,Discipline prosecutes licensed members; enforcement prosecutes non-members misusing titles or practising without a licence.
card502,Iron-ring ceremony for engineering licensure,No—you can be licensed without attending the ceremony.
card503,What does Canada's mobility provision under the Canadian Free Trade Agreement (CFTA) allow for licensed engineers and geoscientists?,"They can apply for and obtain a licence in any province or territory with only minimal extra steps (e.g. proof of good standing, fees)—no need to redo exams or qualifications.

Example: A P.Eng. licensed in Ontario moves to British Columbia and becomes licensed there simply by submitting their Ontario licence and paying BC's application fee."
card504,"Does a thesis-based master's degree count toward the required work experience for engineering licensure?

Thesis-based: a graduate program requiring original research and a written thesis.","No—each provincial/territorial association decides.

- Some (e.g. APEGA) grant up to 12 months of experience credit for a research master's.
- Others (e.g. PEO) give no credit.

Example:• Alberta engineer with an M.Sc. research thesis may reduce experience requirement by one year.• In Ontario, the same degree won't shorten the four-year experience mandate."
card505,Misusing a client's confidential discovery,Breaches the duty to the client and duty to the profession.
card506,Council member selection in self-regulating association,Most council members are chosen by the association.
card507,Self-regulating association,Licensed members elect them (they're not mostly government-appointed).
card508,Factor of Safety (FoS),FoS = load-carrying capacity ÷ expected load.
card509,What is the key phrase in professional mentoring that captures a mentor's role in exemplifying ethical standards?,"Be self-aware about your own professionalism; model the standard.

Example.
Imagine you're mentoring a new engineer, Jamie:
Self-aware: Before each site visit, you reflect, ""Am I following all safety rules myself?""
Model the standard: You always wear your hard hat, high-vis vest, and safety boots—even when it's inconvenient—and you complete the safety checklist out loud, inviting Jamie to observe.
By openly checking your own safety practices and demonstrating them every time, you show Jamie exactly what professional, ethical behaviour looks like—rather than just telling them."
card510,"In professional engineering/geoscience practice, how does the income structure of a self-employed consultant typically compare to that of a salaried employee?","A salaried employee receives a fixed, stable monthly income. A self-employed consultant receives variable income that fluctuates directly with project availability, billing cycles, and client payments.

Simplified Explanation:

Self-employed consulting income means money you earn by giving advice or services on your own. Unlike a regular job, your income is usually not stable every month. It can increase or decrease depending on how many projects you have. Some months you may earn a lot, and other months less. This happens because work depends on client demand. So your income can be unpredictable.

Example:

Imagine a person who gives business advice to companies. In one month, they get several projects and earn a lot of money. The next month, they only get one small project. So their income is lower that month. Over time, their earnings keep changing. This is how self-employed consulting income usually works."
card511,Responsibility for design changes,The overruling engineer must seal and accept responsibility for the changes.
card512,Code of Ethics and stock ownership,Immediate disclosure of the conflict of interest.
card513,Who writes and enforces Code of Ethics,The association itself.
card514,Choosing extra safety aligns with,Kant's formalism (duty over consequences).
card515,Worker reassignment after refusing unsafe work,Their salary and benefits must stay unchanged.
card516,Difference between physical and intellectual property,IP ownership is time-limited (expires into the public domain); physical property is indefinite.
card517,Conflict of interest handling,Disclose the relationship to an appropriate superior authority.
card518,How do the consequences for professionals differ from those for the general public when a criminal act occurs?,"Professionals face three tracks of consequences—criminal, civil, and professional discipline—while the public faces only criminal and civil.  "
card519,Breach of Code of Ethics,Professional misconduct.
card520,Legal defence of double jeopardy,Being tried twice criminally for the same offence; it does not block civil suits or professional discipline.
card521,Highly theoretical branches of philosophy,Epistemology and Metaphysics.
card522,Basis of a Code of Ethics,Moral principles.
card523,Mill's qualitative factors for maximum benefit,"Number of people, intensity of benefit, duration of benefit."
card524,What is influence peddling?,"Selling the influence of your position on someone else's behalf in return for money or favours.

Influence peddling means using your power or connections to help someone get special treatment, usually in exchange for money or favours.
It’s often seen as corrupt or unethical, even if it’s not always illegal.
The key point is you're trading access or influence for personal gain.

Example

A government official helps a business get a contract by calling in a favor.
In return, the business gives the official a free vacation.
This is influence peddling, because the official used their position to help someone and got something back.
It’s not fair to others and can hurt trust in the system."
card525,What is self‑dealing?,"Self‑dealing means you use your position to help yourself or your family instead of treating everyone fairly.

Example: A hiring manager fills three new openings by directly appointing her brother, sister‑in‑law, and cousin—without reviewing any other applicants."
card526,Unethical review,Secretly reviewing a colleague's work for the same employer is unethical because the Code requires informing the original practitioner (unless their link to the work is terminated).
card527,Whistle-blowing,The first step before 'whistle-blowing' externally is to attempt to resolve the issue through internal channels.
card528,Ethical requirement for sealing,"If a friend asks you to seal her drawing, the ethical requirement is to refuse unless you do a full review and are willing to accept responsibility."
card529,Primary obligation before sealing,"When you rely on work received from another P.Eng., your primary obligation before sealing is to verify the work is fit for its intended purpose; perform enough review/tests to accept full responsibility."
card530,What does Canada’s NPRI (National Pollutant Release Inventory) do—and what doesn’t it do?,It collects and publishes data on pollutant releases; it does not enforce or penalize excessive releases.
card531,"What is Professional-liability insurance (Errors & Omissions, E&O)?","Coverage for financial losses caused by professional mistakes—e.g., faulty design, bad advice, or other errors/omissions in services."
card532,Is physical contact necessary for an action to be legally classified as sexual harassment in a Canadian workplace?,"NO, physical contact is NOT required. Harassment can be entirely verbal or non-physical (e.g., jokes, comments, displaying materials) if the behavior is unwelcome and related to gender.

PENG Context (Safety & Ethics): Your duty as a professional is to uphold a safe and respectful work environment. Legally, any unwelcome gender-based conduct that poison the workplace is prohibited, and engineers have an ethical and professional responsibility to prevent it."
card533,Paramount duty in Canadian engineering Code of Ethics,"Hold the safety, health, and welfare of the public (including the environment) paramount."
card534,Love Canal disaster (1970s),"Core cause: Massive health & environmental damage traced to improper chemical-waste disposal, prompting tougher waste-handling laws."
card535,Commercial General Liability vs. Errors & Omissions insurance,"E&O (professional liability) covers design/consulting negligence; CGL covers third-party bodily injury/property damage.

E&O insurance protects you if you make a mistake in your professional work, like a design error.
CGL insurance protects you if someone is hurt or their property is damaged because of your work.
E&O covers intellectual or service-based risks, while CGL covers physical risks.
So, E&O is for wrong advice or design, and CGL is for accidents or injuries.
Most professionals need both types to stay fully protected.

3) Example

Imagine you're an engineer.
If your design has a flaw that causes a project delay, E&O covers that.
But if someone trips over your equipment at the site and breaks a leg, CGL handles that.
E&O is about what you think or draw, and CGL is about what physically happens.
They cover different kinds of risks, and one doesn’t replace the other.
That's why companies usually carry both.

"
card536,What does ISO 14001 certification signal about a company?,"A serious corporate commitment to an Environmental Management System (EMS)—with policies, audits, training, and legal compliance."
